review_id,review_text,rating,product_name,product_category,predicted_label,confidence_score
15529750664,"Tekstur:ringan
Cocok untuk:bibir imut nan lucu
Warna:menarik

bagus sesuai pesanan, cantik warnanya bisa utk di ombre gitu.
thanks yah",4,[Omorfo] OMG OH MY GLAM Lip Series | OMG OH MY GLAM Matte Kiss Lip Cream | Oh My Glam Gloss Lip Finish Vinyl 2.7gr OMG Lip Gloss Lipgloss | Lip Tint | Glassy | OMG Lipcream | OMG Lip tint | OMG Glassy liptint,lip,positive,0.9995
27632200785,"Tekstur:ok
Kegunaan:ok
Keaslian:ok

Bagus banget, sesuai gambar dan nyaman banget dan lembut",5,[Omorfo] Accessories Kuas Eyebrow pipih | Kuas alis mata | bulu pipih hitam makeup ultra thin Brush makeup bulu sintetis,aksesoris,positive,0.9996
15687436043,"Tekstur:bagus, akyu syuka
Cocok untuk:wajah sensitif
Keaslian:terjamin asli

Semuanya bagus, sesuai pesanan, thank u omorfo",5,[Omorfo] HADA LABO All Series | HADALABO Gokujyun | ShiroJyun | GokuJyun Alpha | Tamagohada | Face Wash | Lotion | Essence | Toner | Cleansing Oil | Face Mist | Moisturizer Shirojyun,skincare,positive,0.9995
6858570145,"Warna:Bagus 
Kenyamanan aplikator:Baik 
Ketahanan:Bagus 

Alhamdulillah pesanan nya udah datang, packing nya juga tahan, sampai dengan selamat cepat nyampe. Suka bngt",5,[Omorfo] IMPLORA Eyebrow Pencil 2in1 Original BPOM | Pensil Alis Black Brown Dark Brown Grey Brown Plus Rautan Spoolia Brush,makeup,positive,0.9995
67819739078,"Tekstur:ringan dan nyaman saat dipakai
Cocok untuk:kulit yang sensitif
Keaslian:terjamin asli

TOP dehh , order siang nyampe baranganya malam . Keren 👍👍👍👍",5,[Omorfo] HADA LABO All Series | HADALABO Gokujyun | ShiroJyun | GokuJyun Alpha | Tamagohada | Face Wash | Lotion | Essence | Toner | Cleansing Oil | Face Mist | Moisturizer Shirojyun,skincare,positive,0.9996
15944597718,coveragenya mantul. pengemasan dan pengiriman barang cepat terima kasih,5,[Omorfo] OMG OH MY GLAM Lip Series | OMG OH MY GLAM Matte Kiss Lip Cream | Oh My Glam Gloss Lip Finish Vinyl 2.7gr OMG Lip Gloss Lipgloss | Lip Tint | Glassy | OMG Lipcream | OMG Lip tint | OMG Glassy liptint,lip,positive,0.9995
15740351827,Suka banget belanja disini😘,5,[Omorfo] IMPLORA Eyebrow Pencil 2in1 Original BPOM | Pensil Alis Black Brown Dark Brown Grey Brown Plus Rautan Spoolia Brush,makeup,positive,0.9995
82712882061,Selalu benlanja disini. Barang lengkap. Packing aman. Terimakasih.. selalu puas belanja disini.,4,[Omorfo] HADA LABO All Series | HADALABO Gokujyun | ShiroJyun | GokuJyun Alpha | Tamagohada | Face Wash | Lotion | Essence | Toner | Cleansing Oil | Face Mist | Moisturizer Shirojyun,skincare,positive,0.9996
25464656326,Sedah langganan pakai madeo. Aromanya wangi banget dan menghilangkan bau badan ketika berkeringat berlebihan,5,[Omorfo] MADEO Deodorant Spray (BPOM)  | Penghilang Bau Badan Ampuh | Pemutih Ketiak | Solusi Bau Keringat,deodorant,positive,0.9996
15391131566,Tekstur:nocs,5,[Omorfo] OMG OH MY GLAM Lip Series | OMG OH MY GLAM Matte Kiss Lip Cream | Oh My Glam Gloss Lip Finish Vinyl 2.7gr OMG Lip Gloss Lipgloss | Lip Tint | Glassy | OMG Lipcream | OMG Lip tint | OMG Glassy liptint,lip,negative,0.9994
7736149497,"Paket sudah sampai, pengiriman juga cepat sampainya.....",4,[Omorfo] IMPLORA Eyebrow Pencil 2in1 Original BPOM | Pensil Alis Black Brown Dark Brown Grey Brown Plus Rautan Spoolia Brush,makeup,positive,0.9996
9148619513,"Tekstur:good
Performa:good
Cocok Untuk:saya suka

bagus komplet lah aman pokonya , bisa jadi toko laganan ini .amanah 
walau warnanya habis tpi d konfirmasi dulu good pokonya lah. kurirnya ramah😄",4,[Omorfo] OMG OH MY GLAM Lip Series | OMG OH MY GLAM Matte Kiss Lip Cream | Oh My Glam Gloss Lip Finish Vinyl 2.7gr OMG Lip Gloss Lipgloss | Lip Tint | Glassy | OMG Lipcream | OMG Lip tint | OMG Glassy liptint,lip,positive,0.9995
16059630197,"Tekstur:sgt lmbut dan nyaman
Cocok untuk:bibir
Warna:wrna sgt cntik dan menarik

Semoga cock dibibir akan bakaln net order lgi dech",5,[Omorfo] OMG OH MY GLAM Lip Series | OMG OH MY GLAM Matte Kiss Lip Cream | Oh My Glam Gloss Lip Finish Vinyl 2.7gr OMG Lip Gloss Lipgloss | Lip Tint | Glassy | OMG Lipcream | OMG Lip tint | OMG Glassy liptint,lip,positive,0.9995
41180657321,yeay udah sampe cepet soalnya satu pulau se-provinsi ! packingnya aman BANGET. produknya aman jugaa. dan yeay untung kuasnya dapet warna pink<3 facewashnya kalo cocok bakal pesen terus disinii. thankyouuu kak! ♡,5,[Omorfo] HADA LABO All Series | HADALABO Gokujyun | ShiroJyun | GokuJyun Alpha | Tamagohada | Face Wash | Lotion | Essence | Toner | Cleansing Oil | Face Mist | Moisturizer Shirojyun,skincare,positive,0.9996
15663110756,"Puas banget sama lipmatte omg. Warnanya sesuai yang aku mau
Ringan banget dipakai, kayak ngga pake lipstik tau ngga",5,[Omorfo] OMG OH MY GLAM Lip Series | OMG OH MY GLAM Matte Kiss Lip Cream | Oh My Glam Gloss Lip Finish Vinyl 2.7gr OMG Lip Gloss Lipgloss | Lip Tint | Glassy | OMG Lipcream | OMG Lip tint | OMG Glassy liptint,lip,positive,0.9995
15913373528,"Setelah memakai pensil alis ini alis ku menjadi cetar membahana sangat rekomended sih, worth it buat di pakai setiap hari",5,[Omorfo] IMPLORA Eyebrow Pencil 2in1 Original BPOM | Pensil Alis Black Brown Dark Brown Grey Brown Plus Rautan Spoolia Brush,makeup,positive,0.9995
11631714114,"Profil Kecantikan:pencil Alis implora
Tips Pengguna:pake alas Bedak dulu
Manfaat:supaya kagak Jadi tuyul kudu Pake alis",5,[Omorfo] IMPLORA Eyebrow Pencil 2in1 Original BPOM | Pensil Alis Black Brown Dark Brown Grey Brown Plus Rautan Spoolia Brush,makeup,neutral,0.9995
12607585554,pengiriman cepat dan warnya juga bagus cocok untuk di ombre,5,[Omorfo] OMG OH MY GLAM Lip Series | OMG OH MY GLAM Matte Kiss Lip Cream | Oh My Glam Gloss Lip Finish Vinyl 2.7gr OMG Lip Gloss Lipgloss | Lip Tint | Glassy | OMG Lipcream | OMG Lip tint | OMG Glassy liptint,lip,positive,0.9996
14249841583,"Paketnya sudah sampai, pengiriman juga cepat sesuai dengan pesanan",5,[Omorfo] OMG OH MY GLAM Lip Series | OMG OH MY GLAM Matte Kiss Lip Cream | Oh My Glam Gloss Lip Finish Vinyl 2.7gr OMG Lip Gloss Lipgloss | Lip Tint | Glassy | OMG Lipcream | OMG Lip tint | OMG Glassy liptint,lip,positive,0.9995
16089816579,"Tekstur:ringan
Warna:coklat dan hitam
Kegunaan:untuk sehari-hari

Bagus. Dan murah meriah.. Udah langganan d toko ini so yg mau pesan jngn ragu ya krna sellernya amanah",5,[Omorfo] IMPLORA Eyebrow Pencil 2in1 Original BPOM | Pensil Alis Black Brown Dark Brown Grey Brown Plus Rautan Spoolia Brush,makeup,positive,0.9995
15372364170,pesan instan 2 jam dari kemarin jam setengah tiga tapi diantar baru hari in,3,[Omorfo] IMPLORA Eyebrow Pencil 2in1 Original BPOM | Pensil Alis Black Brown Dark Brown Grey Brown Plus Rautan Spoolia Brush,makeup,neutral,0.9997
17039996831,"Tekstur:b
Warna:jjejej
Kegunaan:ejejejeh",5,[Omorfo] IMPLORA Eyebrow Pencil 2in1 Original BPOM | Pensil Alis Black Brown Dark Brown Grey Brown Plus Rautan Spoolia Brush,makeup,neutral,0.9997
13399862188,"Tekstur:lembut
Performa:ringan
Cocok Untuk:bibir

Sangat mudah di aplikasikan, tokonya amanah",4,[Omorfo] OMG OH MY GLAM Lip Series | OMG OH MY GLAM Matte Kiss Lip Cream | Oh My Glam Gloss Lip Finish Vinyl 2.7gr OMG Lip Gloss Lipgloss | Lip Tint | Glassy | OMG Lipcream | OMG Lip tint | OMG Glassy liptint,lip,positive,0.9995
